* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.0000	8.711
20.3000	8.7672
20.6000	8.9918
20.9000	9.1042
21.2000	9.2165
21.4000	9.2165
21.8000	9.3288
22.0000	9.3288
22.4000	9.5535
22.7000	9.6658
23.0000	9.7781
23.3000	9.7781
23.6000	9.8905
24.0000	10.0028
24.3000	10.0028
24.7000	10.1151
25.0000	10.2274
25.4000	10.3398
25.8000	10.3398
26.2000	10.4521
26.5000	10.4521
26.9000	10.5644
27.2000	10.6768
27.6000	10.6768
28.0000	10.7891
28.5000	10.7891
29.0000	10.9014
29.5000	10.9014
30.0000	10.9014
30.4000	11.0137
30.7000	11.0137
31.1000	11.0137
31.5000	11.0137
32.0000	11.1261
32.5000	11.1261
33.0000	11.1261
33.5000	11.1261
34.0000	11.2384
34.5000	11.2384
35.0000	11.2384
35.5000	11.2384
36.0000	11.2384
36.5000	11.2384
37.0000	11.2384
37.5000	11.2384
38.2000	11.2384
38.7000	11.2384
39.5000	11.2384
40.0000	11.2384
40.6000	11.2384
41.2000	11.1822
41.8000	11.1261
42.5000	11.1261
43.1000	11.1261
43.7000	11.0137
44.4000	11.0137
45.0000	11.0137
45.5000	11.0137
46.2000	10.9576
46.8000	10.9014
47.5000	10.9014
48.2000	10.9014
48.7000	10.8452
49.4000	10.7891
50.0000	10.7891
50.8000	10.6768
51.5000	10.6768
52.2000	10.5644
53.0000	10.5644
53.8000	10.5083
54.5000	10.4521
55.2000	10.4521
56.0000	10.4521
57.0000	10.3398
58.0000	10.3398
59.0000	10.2274
60.0000	10.1151
60.8000	10.059
61.5000	10.0028
62.2000	10.0028
63.0000	10.0028
64.0000	9.8905
65.0000	9.7781
66.0000	9.7781
67.0000	9.7781
68.0000	9.6658
69.0000	9.6096
70.0000	9.5535
71.0000	9.4973
72.0000	9.4411
73.0000	9.4411
74.0000	9.3288
75.0000	9.3288
76.2000	9.2165
77.5000	9.2165
78.8000	9.1042
80.0000	9.048
81.2000	8.9918
82.5000	8.8795
83.8000	8.8795
85.0000	8.7672
86.2000	8.6548
87.5000	8.5425
88.5000	8.5425
90.0000	8.4864
91.2000	8.4302
92.5000	8.4302
93.8000	8.4302
95.0000	8.3179
96.2000	8.2055
97.5000	8.2055
98.8000	8.2055
100.0000	8.2617
101.5000	8.3179
103.0000	8.3179
104.4000	8.3179
106.0000	8.3179
107.5000	8.3179
109.0000	8.3179
110.6000	8.2055
112.0000	8.2055
113.8000	8.2055
115.0000	8.0932
117.2000	8.0932
118.0000	7.9809
120.6000	7.8685
122.0000	7.8685
124.1000	7.7562
125.0000	7.6439
126.5000	7.5877
128.0000	7.4192
131.5000	7.1946
132.0000	7.0823
134.0000	6.9699
136.0000	6.8014
138.0000	6.5206
140.0000	6.3521
143.0000	6.0151
145.0000	5.8466
147.5000	5.7343
150.0000	5.622
152.5000	5.7343
155.0000	5.8466
157.5000	6.0151
160.0000	6.1836
162.5000	6.4083
165.0000	6.5768
167.5000	6.7453
170.0000	6.9699
172.5000	7.1384
175.0000	7.3069
177.5000	7.5316
180.0000	7.6439
182.5000	7.7562
185.0000	7.9247
187.5000	7.9809
190.0000	8.0932
192.5000	8.0932
195.0000	8.2055
197.5000	8.2055
200.0000	8.3179
203.0000	8.5425
206.0000	8.6548
209.0000	8.8795
212.0000	9.048
214.0000	9.2165
218.0000	9.4411
220.0000	9.4411
224.0000	9.6658
227.0000	9.6658
230.0000	9.6658
233.0000	9.6658
236.0000	9.6658
240.0000	9.5535
243.0000	9.5535
247.0000	9.4411
250.0000	9.385
254.0000	9.1603
258.0000	8.9357
262.0000	8.4302
265.0000	8.2055
269.0000	7.3069
272.0000	6.6891
276.0000	6.0713
280.0000	5.8466
285.0000	6.4083
290.0000	7.5316
295.0000	8.2617
300.0000	9.1603
304.0000	9.6096
307.0000	9.7781
311.0000	10.1151
315.0000	10.2274
320.0000	10.4521
325.0000	10.5644
330.0000	10.6768
335.0000	10.6768
340.0000	10.5644
345.0000	10.5644
350.0000	10.3959
355.0000	10.2274
360.0000	10.059
365.0000	9.6658
370.0000	9.385
375.0000	9.2165
382.0000	9.1042
387.0000	9.2165
395.0000	9.3288
400.0000	9.3288
406.0000	9.3288
412.0000	9.2165
418.0000	9.1042
425.0000	9.1042
431.0000	8.9918
437.0000	8.9918
444.0000	8.8795
450.0000	8.8233
455.0000	8.6548
462.0000	8.2617
468.0000	8.0932
475.0000	8.0932
482.0000	7.9247
487.0000	7.7001
494.0000	7.5316
500.0000	7.3631
508.0000	7.1946
515.0000	6.9699
522.0000	6.7453
530.0000	6.6329
538.0000	6.4644
545.0000	6.2398
552.0000	6.0713
560.0000	5.959
570.0000	5.6781
580.0000	5.5097
590.0000	5.5097
600.0000	5.5658
608.0000	5.5097
615.0000	5.5097
622.0000	5.5097
630.0000	5.3973
640.0000	5.3973
650.0000	5.285
660.0000	5.1727
670.0000	5.1165
680.0000	5.0603
690.0000	4.8357
700.0000	4.6672
