* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.0000	11.0699
20.3000	11.1822
20.6000	11.2946
20.9000	11.4069
21.2000	11.5192
21.4000	11.5192
21.8000	11.7439
22.0000	11.7439
22.4000	11.9685
22.7000	11.9685
23.0000	12.0809
23.3000	12.1932
23.6000	12.3055
24.0000	12.4178
24.3000	12.5302
24.7000	12.6425
25.0000	12.6425
25.4000	12.811
25.8000	12.8672
26.2000	12.9795
26.5000	13.0918
26.9000	13.2041
27.2000	13.3165
27.6000	13.3165
28.0000	13.4288
28.5000	13.5411
29.0000	13.6535
29.5000	13.7658
30.0000	13.8781
30.4000	13.8781
30.7000	13.8781
31.1000	13.9904
31.5000	14.1028
32.0000	14.1028
32.5000	14.1028
33.0000	14.2151
33.5000	14.3274
34.0000	14.3274
34.5000	14.4398
35.0000	14.5521
35.5000	14.5521
36.0000	14.6644
36.5000	14.6644
37.0000	14.7767
37.5000	14.7767
38.2000	14.8891
38.7000	14.8891
39.5000	14.8891
40.0000	15.0014
40.6000	15.0014
41.2000	15.0014
41.8000	15.0014
42.5000	15.1137
43.1000	15.1137
43.7000	15.1137
44.4000	15.1137
45.0000	15.1137
45.5000	15.1137
46.2000	15.226
46.8000	15.226
47.5000	15.226
48.2000	15.226
48.7000	15.226
49.4000	15.226
50.0000	15.226
50.8000	15.226
51.5000	15.226
52.2000	15.226
53.0000	15.226
53.8000	15.226
54.5000	15.226
55.2000	15.1137
56.0000	15.1137
57.0000	15.1137
58.0000	15.1137
59.0000	15.1137
60.0000	15.1137
60.8000	15.1137
61.5000	15.0014
62.2000	15.0014
63.0000	15.0014
64.0000	15.0014
65.0000	15.0014
66.0000	14.8891
67.0000	14.8891
68.0000	14.8891
69.0000	14.8891
70.0000	14.8891
71.0000	14.8891
72.0000	14.8891
73.0000	14.7767
74.0000	14.7767
75.0000	14.7767
76.2000	14.7767
77.5000	14.6644
78.8000	14.6644
80.0000	14.6644
81.2000	14.5521
82.5000	14.5521
83.8000	14.5521
85.0000	14.4398
86.2000	14.4398
87.5000	14.3274
88.5000	14.2151
90.0000	14.2713
91.2000	14.3274
92.5000	14.3274
93.8000	14.2151
95.0000	14.2151
96.2000	14.1028
97.5000	14.1028
