* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	
20	5.4281
20.3	5.5055
20.6	5.6603
20.9	5.8151
21.2	5.9698
21.4	5.9698
21.8	6.2278
22	6.2278
22.4	6.3826
22.7	6.4599
23	6.4857
23.3	6.5115
23.6	6.5373
24	6.5115
24.3	6.5115
24.7	6.5115
25	6.5373
25.4	6.7179
25.8	6.7953
26.2	6.9243
26.5	7.0017
26.9	7.079
27.2	7.1564
27.6	7.1822
28	7.208
28.5	7.3112
29	7.4402
29.5	7.466
30	7.5692
30.4	7.595
30.7	7.6208
31.1	7.7239
31.5	7.7755
32	7.8529
32.5	7.9045
33	7.9561
33.5	8.0851
34	8.1109
34.5	8.1883
35	8.2656
35.5	8.2656
36	8.2656
36.5	8.3172
37	8.343
37.5	8.4462
38.2	8.472
38.7	8.5236
39.5	8.472
40	8.4978
40.6	8.601
41.2	8.6784
41.8	8.7042
42.5	8.7042
43.1	8.7042
43.7	8.7042
44.4	8.7042
45	8.7042
45.5	8.7042
46.2	8.7042
46.8	9.0653
47.5	9.0653
48.2	9.0911
48.7	9.0911
49.4	9.1427
50	9.1685
50.8	9.1943
51.5	9.2459
52.2	9.2459
53	9.2975
53.8	9.2975
54.5	9.3491
55.2	9.3491
56	9.4007
57	9.4007
58	9.4523
59	9.4523
60	9.4523
60.8	9.4523
61.5	9.4523
62.2	9.5038
63	9.5038
64	9.5554
65	9.5554
66	9.5554
67	9.5812
68	9.5554
69	9.5554
70	9.607
71	9.607
72	9.607
73	9.607
74	9.607
75	9.607
76.2	9.6586
77.5	9.6328
78.8	9.607
80	9.6586
81.2	9.6586
82.5	9.6586
83.8	9.6586
85	9.6586
86.2	9.6586
87.5	9.6586
88.5	9.6586
90	9.6328
91.2	9.607
92.5	9.607
93.8	9.607
95	9.5554
96.2	9.5554
97.5	9.5554
98.8	9.5554
100	9.5554
101.5	9.5296
103	9.5038
104.4	9.5038
106	9.4523
107.5	9.4523
109	9.4265
110.6	9.4007
112	9.4007
113.8	9.3491
115	9.3491
117.2	9.2975
118	9.2975
120.6	9.2459
122	9.2201
124.1	9.1943
125	9.1685
126.5	9.1427
128	9.1427
131.5	9.0911
132	9.0653
134	9.0395
136	9.0395
138	8.9879
140	8.9621
143	8.8847
145	8.8332
147.5	8.8074
150	8.7558
152.5	8.73
155	8.6784
157.5	8.6268
160	8.601
162.5	8.5494
165	8.4978
167.5	8.472
170	8.4204
172.5	8.3688
175	8.2914
177.5	8.2656
180	8.2656
182.5	8.2141
185	8.1367
187.5	8.1109
190	8.0593
192.5	7.9819
195	7.9561
197.5	7.8787
200	7.8013
203	7.7239
206	7.6981
209	7.6208
212	7.5176
214	7.4918
218	7.4144
220	7.3628
224	7.2596
227	7.208
230	7.1048
233	7.0532
236	6.9501
240	6.8985
243	6.8727
247	6.7953
250	6.6921
254	6.6147
258	6.5115
262	6.4599
265	6.4341
269	6.3052
272	6.202
276	6.1246
280	6.073
285	5.9182
290	5.8666
295	5.7377
300	5.6345
304	5.5571
307	5.4797
311	5.3765
315	5.2991
320	5.2217
325	5.196
330	5.1186
335	5.1186
340	5.067
345	4.9896
350	4.938
355	4.8864
360	4.809
365	4.7832
370	4.68
375	4.6027
382	4.4995
387	4.4221
395	4.3189
400	4.2157
406	4.1125
412	4.0351
418	3.932
425	3.8546
431	3.7772
437	3.674
444	3.5966
450	3.4934
455	3.4418
462	3.3387
468	3.2613
475	3.1323
482	3.0291
487	3.0033
494	2.9259
500	2.8485
508	2.7454
515	2.668
522	2.5132
530	2.4616
538	2.3584
545	2.3068
552	2.2036
560	2.1005
570	1.9973
580	1.8941
590	1.8167
600	1.7135
608	1.6361
615	1.533
622	1.5072
630	1.3782
640	1.3266
650	1.275
660	1.1718
670	1.0686
680	0.9912
690	0.9654
700	0.8623
710	0.7849
720	0.7075
730	0.6043
740	0.5785
750	0.5269
762	0.4753
775	0.3979
788	0.3463
800	0.2948
812	0.2174
825	0.2174
838	0.1658
850	0.1142
862	0.0884
875	0.0368
885	0.011
900	0.011
912	0.011
925	0.011
938	0.011
950	0.011
962	0.011
975	0.011
988	0.011
1000	0.011
1015	0.011
1030	0.0626
1044	0.0884
1060	0.14
1075	0.14
1090	0.0884
1106	0.0884
1120	0.0884
1138	0.1142
1150	0.1142
1172	0.1142
1180	0.1142
1206	0.1142
1220	0.1142
1241	0.1916
1250	0.2174
1265	0.269
1280	0.2948
1315	0.4237
1320	0.4237
1340	0.4237
1360	0.5011
1380	0.6043
1400	0.6559
1430	0.7591
1450	0.8365
1475	0.8881
1500	0.9654
1525	1.017
1550	1.1202
1575	1.2234
1600	1.3266
1625	1.4298
1650	1.533
1675	1.6361
1700	1.7393
1725	1.8683
1750	2.0231
1775	2.1521
1800	2.2294
1825	2.3842
1850	2.5132
1875	2.6422
1900	2.7454
1925	2.9001
1950	3.0291
1975	3.1323
2000	3.2871
2030	3.3902
2060	3.4934
2090	3.6482
2120	3.6998
2140	3.803
2180	3.9062
2200	3.9578
2240	4.0351
2270	4.0867
2300	4.1383
2330	4.1899
2360	4.1899
2400	4.1899
2430	4.1899
2470	4.1641
2500	4.1383
2540	4.0609
2580	3.9578
2620	3.8804
2650	3.7772
2690	3.6998
2720	3.6482
2760	3.5192
2800	3.3902
2850	3.2871
2900	3.1323
2950	3.0291
3000	2.9001
3040	2.8743
3070	2.8227
3110	2.7196
3150	2.6938
3200	2.668
3250	2.6422
3300	2.6422
3350	2.6422
3400	2.6938
3450	2.7196
3500	2.7969
3550	2.9259
3600	3.0807
3650	3.2871
3700	3.3902
3750	3.6224
3820	3.8288
3870	4.1125
3950	4.4995
4000	4.6284
4060	4.938
4120	5.196
4180	5.3507
4250	5.5313
4310	5.6345
4370	5.6345
4440	5.6603
4500	5.5313
4550	5.3249
4620	5.0928
4680	4.8348
4750	4.3963
4820	3.8804
4870	3.3387
4940	2.7454
5000	2.0747
5080	1.2234
5150	0.5011
5220	-0.7371
5300	-1.6915
5380	-2.7233
5450	-3.6004
5520	-3.91
5600	-4.4775
5700	-5.0708
5800	-5.5867
5900	-6.1542
6000	-6.4379
6080	-6.6443
6150	-6.7475
6220	-6.8765
6300	-7.0312
6400	-7.057
6500	-7.0312
6600	-6.8507
6700	-6.5927
6800	-6.1026
6900	-5.2255
7000	-4.658
7100	-3.523
7200	-2.3364
7300	-0.1954
7400	1.3008
7500	1.7909
7620	1.6103
7750	0.4753
7880	-2.9813
8000	-3.6778
8120	-4.4775
8250	-5.7157
8380	-6.7217
8500	-7.315
8620	-7.8051
8750	-8.4758
8850	-8.9143
9000	-9.3529
9120	-9.7398
9250	-10.0235
9380	-10.1525
9500	-10.1525
9620	-10.1525
9750	-10.1009
9880	-10.1009
10000	-10.0235
10150	-9.843
10300	-9.585
10440	-9.4302
10600	-8.9659
10750	-8.4242
10900	-7.9083
11060	-7.2376
11200	-7.0828
11380	-6.5927
11500	-5.8962
11720	-5.0708
11800	-4.7354
12060	-3.8068
12200	-3.5746
12410	-3.0329
12500	-2.646
12650	-1.6657
12800	-1.3562
13150	-0.6081
13200	-0.6081
13400	-0.6081
13600	-0.6597
13800	-0.6081
14000	-0.2727
14300	0.2432
14500	0.9139
14750	2.0489
15000	3.7772
15250	4.6027
15500	4.5769
15750	3.6482
16000	2.6164
16250	1.2234
16500	-0.9176
16750	-2.2332
17000	-2.8781
17250	-4.2711
17500	-4.7612
17750	-5.045
18000	-5.0966
18250	-5.1224
18500	-5.6125
18750	-6.4379
19000	-9.7398
19250	-10.7716
19500	-11.8035
19750	-11.8035
