* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	
20.0000	7.0275
20.3000	7.079
20.6000	7.1306
20.9000	7.1564
21.2000	7.208
21.4000	7.208
21.8000	7.3112
22.0000	7.3112
22.4000	7.3886
22.7000	7.4402
23.0000	7.4402
23.3000	7.4402
23.6000	7.466
24.0000	7.4918
24.3000	7.5434
24.7000	7.5434
25.0000	7.6208
25.4000	7.7239
25.8000	7.7755
26.2000	7.8271
26.5000	7.8529
26.9000	7.9045
27.2000	7.9045
27.6000	7.9561
28.0000	7.9561
28.5000	7.9561
29.0000	8.0077
29.5000	8.0335
30.0000	8.1883
30.4000	8.2141
30.7000	8.2399
31.1000	8.3172
31.5000	8.3172
32.0000	8.3688
32.5000	8.3688
33.0000	8.3688
33.5000	8.4204
34.0000	8.4204
34.5000	8.472
35.0000	8.5236
35.5000	8.5236
36.0000	8.5752
36.5000	8.5752
37.0000	8.6268
37.5000	8.6268
38.2000	8.6268
38.7000	8.6784
39.5000	8.73
40.0000	8.73
40.6000	8.73
41.2000	8.7816
41.8000	8.7816
42.5000	8.7816
43.1000	8.8332
43.7000	8.8847
44.4000	8.9363
45.0000	8.9363
45.5000	8.9879
46.2000	8.9879
46.8000	8.9879
47.5000	8.9879
48.2000	8.9879
48.7000	8.9879
49.4000	9.0395
50.0000	9.0911
50.8000	9.0911
51.5000	9.0911
52.2000	9.0911
53.0000	9.1427
53.8000	9.1427
54.5000	9.1427
55.2000	9.1427
56.0000	9.1427
57.0000	9.1427
58.0000	9.1427
59.0000	9.1427
60.0000	9.1685
60.8000	9.2201
61.5000	9.2459
62.2000	9.2459
63.0000	9.2459
64.0000	9.1943
65.0000	9.2459
66.0000	9.2459
67.0000	9.2459
68.0000	9.2459
69.0000	9.2459
70.0000	9.2459
71.0000	9.1685
72.0000	9.1427
73.0000	9.1427
74.0000	9.1943
75.0000	9.1943
76.2000	9.1943
77.5000	9.1685
78.8000	9.1427
80.0000	9.0911
81.2000	9.0911
82.5000	9.0911
83.8000	9.1427
85.0000	9.1427
86.2000	9.0911
87.5000	9.0653
88.5000	9.0395
90.0000	9.0395
91.2000	9.0395
92.5000	9.0137
93.8000	8.9879
95.0000	8.9363
96.2000	8.9363
97.5000	8.9105
98.8000	8.8847
100.0000	8.859
101.5000	8.8074
103.0000	8.7816
104.4000	8.73
106.0000	8.73
107.5000	8.7042
109.0000	8.6784
110.6000	8.6268
112.0000	8.5752
113.8000	8.4978
115.0000	8.472
117.2000	8.3946
118.0000	8.3946
120.6000	8.343
122.0000	8.2914
124.1000	8.2656
125.0000	8.2399
126.5000	8.1883
128.0000	8.1109
131.5000	8.0335
